,0,1,2,3
0,4.0,0.0,1.0,2.0
1,0.0,0.0,1.0,2.0
2,3.0,0.0,1.0,2.0
3,2.0,0.0,1.0,2.0
4,6.0,0.0,1.0,2.0
5,1.0,0.0,1.0,2.0
6,0.0,0.0,1.0,3.0
7,5.0,0.0,1.0,2.0
8,4.0,0.0,1.0,3.0
9,6.0,0.0,1.0,3.0
10,5.0,0.0,1.0,3.0
11,8.0,-0.0,1.0,2.0
12,1.0,0.0,1.0,3.0
13,3.0,0.0,1.0,3.0
14,9.0,-0.0,1.0,2.0
15,1.0,0.0,1.0,4.0
16,0.0,0.0,1.0,4.0
17,7.0,0.0,1.0,2.0
18,8.0,-82.0,1.0,3.0
19,2.0,0.0,1.0,3.0
20,9.0,-0.0,1.0,3.0
21,9.0,-0.0,1.0,4.0
22,3.0,0.0,1.0,4.0
23,4.0,0.0,1.0,4.0
24,7.0,0.0,1.0,3.0
25,6.0,0.0,1.0,4.0
26,5.0,0.0,1.0,4.0
27,0.0,0.0,1.0,5.0
28,0.0,0.0,1.0,6.0
29,7.0,0.0,1.0,4.0
30,9.0,-0.0,1.0,5.0
31,6.0,0.0,1.0,5.0
32,6.0,0.0,1.0,6.0
33,3.0,0.0,1.0,5.0
34,8.0,-0.0,1.0,4.0
35,8.0,-0.0,1.0,5.0
36,5.0,20.000000000000014,2.0,4.0
37,4.0,0.0,1.0,5.0
38,4.0,50.0,2.0,5.0
39,1.0,100.0,2.0,4.0
40,8.0,-0.0,1.0,6.0
41,5.0,0.0,2.0,5.0
42,4.0,0.0,2.0,6.0
43,5.0,0.0,2.0,6.0
44,2.0,0.0,1.0,4.0
45,3.0,0.0,1.0,6.0
46,4.0,0.0,2.0,7.0
47,1.0,0.0,2.0,5.0
48,2.0,0.0,1.0,5.0
49,2.0,50.0,2.0,5.0
50,2.0,0.0,2.0,6.0
51,3.0,0.0,1.0,7.0
52,5.0,20.000000000000014,3.0,6.0
53,9.0,-0.0,1.0,6.0
54,1.0,100.0,3.0,5.0
55,1.0,100.0,4.0,5.0
56,1.0,0.0,4.0,6.0
57,1.0,0.0,4.0,7.0
58,5.0,0.0,3.0,7.0
59,5.0,0.0,3.0,8.0
60,0.0,0.0,1.0,7.0
61,1.0,0.0,4.0,8.0
62,1.0,100.0,5.0,8.0
63,1.0,0.0,5.0,9.0
64,5.0,0.0,3.0,9.0
65,4.0,50.0,3.0,7.0
66,1.0,100.0,6.0,9.0
67,5.0,0.0,3.0,10.0
68,4.0,0.0,3.0,8.0
69,2.0,0.0,2.0,7.0
70,4.0,0.0,3.0,9.0
71,1.0,100.0,7.0,9.0
72,1.0,0.0,7.0,10.0
73,7.0,0.0,1.0,5.0
74,1.0,0.0,7.0,11.0
75,5.0,0.0,3.0,11.0
76,1.0,0.0,7.0,12.0
77,8.0,-0.0,1.0,7.0
78,2.0,0.0,2.0,8.0
79,2.0,0.0,2.0,9.0
80,1.0,100.0,8.0,12.0
81,6.0,0.0,1.0,7.0
82,1.0,0.0,8.0,13.0
83,1.0,0.0,8.0,14.0
84,8.0,-0.0,1.0,8.0
85,1.0,0.0,8.0,15.0
86,1.0,0.0,8.0,16.0
87,5.0,0.0,3.0,12.0
88,1.0,0.0,8.0,17.0
89,9.0,-0.0,1.0,7.0
90,8.0,-0.0,1.0,9.0
91,1.0,0.0,8.0,18.0
92,3.0,0.0,1.0,8.0
93,4.0,0.0,3.0,10.0
94,1.0,0.0,8.0,19.0
95,2.0,0.0,2.0,10.0
96,7.0,0.0,1.0,6.0
97,4.0,0.0,3.0,11.0
98,7.0,0.0,1.0,7.0
99,0.0,0.0,1.0,8.0
100,9.0,-0.0,1.0,8.0
101,1.0,0.0,8.0,20.0
102,2.0,0.0,2.0,11.0
103,1.0,100.0,9.0,20.0
104,7.0,0.0,1.0,8.0
105,1.0,0.0,9.0,21.0
106,9.0,-0.0,1.0,9.0
107,1.0,0.0,9.0,22.0
108,4.0,0.0,3.0,12.0
109,2.0,50.0,3.0,11.0
110,7.0,0.0,1.0,9.0
111,2.0,0.0,3.0,12.0
112,2.0,0.0,3.0,13.0
113,1.0,0.0,9.0,23.0
114,1.0,0.0,9.0,24.0
115,1.0,0.0,9.0,25.0
116,0.0,0.0,1.0,9.0
117,2.0,0.0,3.0,14.0
118,4.0,0.0,3.0,13.0
119,1.0,100.0,10.0,25.0
120,7.0,0.0,1.0,10.0
121,1.0,0.0,10.0,26.0
122,1.0,0.0,10.0,27.0
123,5.0,0.0,3.0,13.0
124,4.0,50.0,4.0,13.0
125,6.0,0.0,1.0,8.0
126,8.0,-0.0,1.0,10.0
127,4.0,0.0,4.0,14.0
128,1.0,0.0,10.0,28.0
129,4.0,0.0,4.0,15.0
130,5.0,0.0,3.0,14.0
131,1.0,100.0,11.0,28.0
132,5.0,0.0,3.0,15.0
133,2.0,0.0,3.0,15.0
134,1.0,0.0,11.0,29.0
135,4.0,0.0,4.0,16.0
136,9.0,-0.0,1.0,10.0
137,4.0,0.0,4.0,17.0
138,1.0,0.0,11.0,30.0
139,1.0,0.0,11.0,31.0
140,1.0,0.0,11.0,32.0
141,2.0,0.0,3.0,16.0
142,1.0,0.0,11.0,33.0
143,9.0,-0.0,1.0,11.0
144,5.0,0.0,3.0,16.0
145,1.0,0.0,11.0,34.0
146,1.0,0.0,11.0,35.0
147,1.0,0.0,11.0,36.0
148,5.0,0.0,3.0,17.0
149,3.0,60.0,2.0,8.0
150,7.0,0.0,1.0,11.0
151,5.0,0.0,3.0,18.0
152,8.0,-0.0,1.0,11.0
153,5.0,0.0,3.0,19.0
154,9.0,-0.0,1.0,12.0
155,3.0,0.0,2.0,9.0
156,5.0,0.0,3.0,20.0
157,3.0,0.0,2.0,10.0
158,3.0,0.0,2.0,11.0
159,8.0,-0.0,1.0,12.0
160,1.0,100.0,12.0,36.0
161,1.0,100.0,13.0,36.0
162,2.0,0.0,3.0,17.0
163,3.0,0.0,2.0,12.0
164,1.0,100.0,14.0,36.0
165,2.0,0.0,3.0,18.0
166,3.0,0.0,2.0,13.0
167,4.0,50.0,5.0,17.0
168,4.0,0.0,5.0,18.0
169,1.0,0.0,14.0,37.0
170,4.0,0.0,5.0,19.0
171,1.0,0.0,14.0,38.0
172,1.0,0.0,14.0,39.0
173,7.0,0.0,1.0,12.0
174,1.0,0.0,14.0,40.0
175,6.0,0.0,1.0,9.0
176,1.0,0.0,14.0,41.0
177,1.0,0.0,14.0,42.0
178,1.0,0.0,14.0,43.0
179,0.0,0.0,1.0,10.0
180,0.0,0.0,1.0,11.0
181,2.0,0.0,3.0,19.0
182,1.0,100.0,15.0,43.0
183,2.0,0.0,3.0,20.0
184,1.0,0.0,15.0,44.0
185,7.0,0.0,1.0,13.0
186,1.0,0.0,15.0,45.0
187,4.0,50.0,6.0,19.0
188,4.0,0.0,6.0,20.0
189,3.0,0.0,2.0,14.0
190,1.0,100.0,16.0,45.0
191,1.0,0.0,16.0,46.0
192,1.0,0.0,16.0,47.0
193,4.0,0.0,6.0,21.0
194,4.0,0.0,6.0,22.0
195,1.0,0.0,16.0,48.0
196,4.0,0.0,6.0,23.0
197,2.0,0.0,3.0,21.0
198,1.0,0.0,16.0,49.0
199,1.0,0.0,16.0,50.0
200,1.0,0.0,16.0,51.0
201,1.0,0.0,16.0,52.0
202,4.0,0.0,6.0,24.0
203,1.0,0.0,16.0,53.0
204,1.0,0.0,16.0,54.0
205,8.0,-0.0,1.0,13.0
206,1.0,0.0,16.0,55.0
207,4.0,0.0,6.0,25.0
208,4.0,0.0,6.0,26.0
209,1.0,0.0,16.0,56.0
210,3.0,0.0,2.0,15.0
211,5.0,0.0,3.0,21.0
212,5.0,20.000000000000014,4.0,21.0
213,1.0,100.0,17.0,56.0
214,4.0,0.0,6.0,27.0
215,4.0,0.0,6.0,28.0
216,1.0,100.0,18.0,56.0
217,1.0,0.0,18.0,57.0
218,7.0,0.0,1.0,14.0
219,1.0,0.0,18.0,58.0
220,1.0,0.0,18.0,59.0
221,3.0,0.0,2.0,16.0
222,1.0,0.0,18.0,60.0
223,1.0,0.0,18.0,61.0
224,5.0,0.0,4.0,22.0
225,1.0,0.0,18.0,62.0
226,4.0,0.0,6.0,29.0
227,1.0,0.0,18.0,63.0
228,2.0,0.0,3.0,22.0
229,1.0,0.0,18.0,64.0
230,5.0,0.0,4.0,23.0
231,6.0,0.0,1.0,10.0
232,1.0,100.0,19.0,64.0
233,1.0,0.0,19.0,65.0
234,1.0,0.0,19.0,66.0
235,4.0,50.0,7.0,29.0
236,4.0,50.0,8.0,29.0
237,4.0,50.0,9.0,29.0
238,4.0,0.0,9.0,30.0
239,4.0,50.0,10.0,30.0
240,4.0,0.0,10.0,31.0
241,6.0,0.0,1.0,11.0
242,1.0,0.0,19.0,67.0
243,1.0,0.0,19.0,68.0
244,8.0,-0.0,1.0,14.0
245,4.0,0.0,10.0,32.0
246,1.0,0.0,19.0,69.0
247,4.0,0.0,10.0,33.0
248,4.0,0.0,10.0,34.0
249,1.0,0.0,19.0,70.0
250,5.0,0.0,4.0,24.0
251,1.0,0.0,19.0,71.0
252,1.0,0.0,19.0,72.0
253,4.0,0.0,10.0,35.0
254,4.0,0.0,10.0,36.0
255,5.0,20.000000000000014,5.0,24.0
256,4.0,0.0,10.0,37.0
257,5.0,0.0,5.0,25.0
258,1.0,100.0,20.0,72.0
259,1.0,0.0,20.0,73.0
260,1.0,0.0,20.0,74.0
261,1.0,0.0,20.0,75.0
262,4.0,0.0,10.0,38.0
263,1.0,0.0,20.0,76.0
264,4.0,50.0,11.0,38.0
265,4.0,0.0,11.0,39.0
266,4.0,0.0,11.0,40.0
267,4.0,0.0,11.0,41.0
268,9.0,-0.0,1.0,13.0
269,1.0,0.0,20.0,77.0
270,7.0,0.0,1.0,15.0
271,4.0,0.0,11.0,42.0
272,3.0,0.0,2.0,17.0
273,1.0,0.0,20.0,78.0
274,4.0,0.0,11.0,43.0
275,6.0,0.0,1.0,12.0
276,4.0,0.0,11.0,44.0
277,1.0,0.0,20.0,79.0
278,4.0,0.0,11.0,45.0
279,4.0,0.0,11.0,46.0
280,6.0,26.0,2.0,12.0
281,1.0,100.0,21.0,79.0
282,6.0,0.0,2.0,13.0
283,6.0,0.0,2.0,14.0
284,1.0,0.0,21.0,80.0
285,5.0,0.0,5.0,26.0
286,0.0,0.0,1.0,12.0
287,5.0,0.0,5.0,27.0
288,3.0,0.0,2.0,18.0
289,6.0,26.0,3.0,14.0
290,1.0,0.0,21.0,81.0
291,5.0,0.0,5.0,28.0
292,4.0,0.0,11.0,47.0
293,6.0,0.0,3.0,15.0
294,6.0,0.0,3.0,16.0
295,0.0,0.0,1.0,13.0
296,6.0,26.0,4.0,16.0
297,4.0,0.0,11.0,48.0
298,6.0,26.0,5.0,16.0
299,6.0,0.0,5.0,17.0
300,6.0,0.0,5.0,18.0
301,5.0,0.0,5.0,29.0
302,5.0,0.0,5.0,30.0
303,6.0,0.0,5.0,19.0
304,6.0,0.0,5.0,20.0
305,6.0,26.0,6.0,20.0
306,6.0,0.0,6.0,21.0
307,0.0,0.0,1.0,14.0
308,6.0,0.0,6.0,22.0
309,1.0,0.0,21.0,82.0
310,6.0,26.0,7.0,22.0
311,5.0,0.0,5.0,31.0
312,4.0,0.0,11.0,49.0
313,6.0,0.0,7.0,23.0
314,8.0,-0.0,1.0,15.0
315,1.0,0.0,21.0,83.0
316,6.0,0.0,7.0,24.0
317,6.0,0.0,7.0,25.0
318,2.0,0.0,3.0,23.0
319,1.0,100.0,22.0,83.0
320,6.0,0.0,7.0,26.0
321,6.0,0.0,7.0,27.0
322,6.0,0.0,7.0,28.0
323,6.0,0.0,7.0,29.0
324,6.0,0.0,7.0,30.0
325,6.0,0.0,7.0,31.0
326,0.0,0.0,1.0,15.0
327,1.0,0.0,22.0,84.0
328,4.0,0.0,11.0,50.0
329,6.0,0.0,7.0,32.0
330,1.0,0.0,22.0,85.0
331,6.0,0.0,7.0,33.0
332,4.0,0.0,11.0,51.0
333,9.0,-0.0,1.0,14.0
334,5.0,0.0,5.0,32.0
335,6.0,0.0,7.0,34.0
336,6.0,0.0,7.0,35.0
337,1.0,0.0,22.0,86.0
338,6.0,0.0,7.0,36.0
339,1.0,0.0,22.0,87.0
340,1.0,0.0,22.0,88.0
341,5.0,0.0,5.0,33.0
342,6.0,0.0,7.0,37.0
343,3.0,0.0,2.0,19.0
344,1.0,0.0,22.0,89.0
345,1.0,100.0,23.0,89.0
346,4.0,0.0,11.0,52.0
347,1.0,0.0,23.0,90.0
348,1.0,0.0,23.0,91.0
349,6.0,0.0,7.0,38.0
350,4.0,0.0,11.0,53.0
351,4.0,0.0,11.0,54.0
