,0,1,2,3
0,0.0,0.0,1.0,2.0
1,1.0,0.0,1.0,2.0
2,7.0,0.0,1.0,2.0
3,8.0,-0.0,1.0,2.0
4,6.0,79.92590423689748,2.0,1.0
5,6.0,0.0,2.0,2.0
6,5.0,0.0,1.0,2.0
7,5.0,0.0,1.0,3.0
8,6.0,0.0,2.0,3.0
9,2.0,0.0,1.0,2.0
10,9.0,-0.0,1.0,2.0
11,1.0,0.0,1.0,3.0
12,5.0,0.0,1.0,4.0
13,8.0,-0.0,1.0,3.0
14,6.0,0.0,2.0,4.0
15,3.0,0.0,1.0,2.0
16,2.0,39.70555293267634,2.0,2.0
17,7.0,0.0,1.0,3.0
18,4.0,0.0,1.0,2.0
19,3.0,0.0,1.0,3.0
20,2.0,92.88321981434763,3.0,2.0
21,1.0,60.718177128497075,2.0,3.0
22,2.0,0.0,3.0,3.0
23,2.0,40.56369354097319,4.0,3.0
24,6.0,30.88954141896173,3.0,4.0
25,1.0,0.0,2.0,4.0
26,3.0,44.594590258477965,2.0,3.0
27,2.0,0.0,4.0,4.0
28,1.0,60.718177128497075,3.0,4.0
29,1.0,0.0,3.0,5.0
30,4.0,0.0,1.0,3.0
31,0.0,0.0,1.0,3.0
32,2.0,0.0,4.0,5.0
33,1.0,0.0,3.0,6.0
34,2.0,0.0,4.0,6.0
35,9.0,-0.0,1.0,3.0
36,9.0,-0.0,1.0,4.0
37,2.0,0.0,4.0,7.0
38,8.0,-0.0,1.0,4.0
39,6.0,0.0,3.0,5.0
40,1.0,0.0,3.0,7.0
41,3.0,44.594590258477965,3.0,3.0
42,4.0,0.0,1.0,4.0
43,3.0,0.0,3.0,4.0
44,3.0,0.0,3.0,5.0
45,0.0,0.0,1.0,4.0
46,2.0,39.20201398425886,5.0,7.0
47,2.0,0.0,5.0,8.0
48,2.0,0.0,5.0,9.0
49,5.0,0.0,1.0,5.0
50,1.0,60.718177128497075,4.0,7.0
51,6.0,0.0,3.0,6.0
52,6.0,0.0,3.0,7.0
53,3.0,0.0,3.0,6.0
54,3.0,0.0,3.0,7.0
55,6.0,0.0,3.0,8.0
56,9.0,-0.0,1.0,5.0
57,1.0,0.0,4.0,8.0
58,4.0,0.0,1.0,5.0
59,6.0,0.0,3.0,9.0
60,2.0,0.0,5.0,10.0
61,3.0,44.594590258477965,4.0,7.0
62,3.0,0.0,4.0,8.0
63,2.0,0.0,5.0,11.0
64,2.0,0.0,5.0,12.0
65,1.0,0.0,4.0,9.0
66,8.0,-0.0,1.0,5.0
67,9.0,-0.0,1.0,6.0
68,6.0,0.0,3.0,10.0
69,7.0,0.0,1.0,4.0
70,2.0,40.56369354097319,6.0,12.0
71,8.0,-0.0,1.0,6.0
72,2.0,0.0,6.0,13.0
73,1.0,0.0,4.0,10.0
74,3.0,0.0,4.0,9.0
75,7.0,0.0,1.0,5.0
76,1.0,0.0,4.0,11.0
77,2.0,40.56369354097319,7.0,13.0
78,5.0,0.0,1.0,6.0
79,5.0,0.0,1.0,7.0
80,4.0,0.0,1.0,6.0
81,8.0,-0.0,1.0,7.0
82,1.0,0.0,4.0,12.0
83,3.0,0.0,4.0,10.0
84,4.0,0.0,1.0,7.0
85,3.0,44.594590258477965,5.0,10.0
86,7.0,0.0,1.0,6.0
87,2.0,0.0,7.0,14.0
88,1.0,0.0,4.0,13.0
89,3.0,0.0,5.0,11.0
90,2.0,40.56369354097319,8.0,14.0
91,2.0,35.637281585822876,9.0,14.0
92,0.0,0.0,1.0,5.0
93,9.0,-0.0,1.0,7.0
94,2.0,40.56369354097319,10.0,14.0
95,6.0,0.0,3.0,11.0
96,2.0,0.0,10.0,15.0
97,1.0,60.718177128497075,5.0,13.0
98,9.0,-0.0,1.0,8.0
99,0.0,0.0,1.0,6.0
100,1.0,0.0,5.0,14.0
101,2.0,0.0,10.0,16.0
102,2.0,40.56369354097319,11.0,16.0
103,2.0,0.0,11.0,17.0
104,2.0,39.20201398425886,12.0,17.0
105,2.0,40.56369354097319,13.0,17.0
106,2.0,0.0,13.0,18.0
107,3.0,0.0,5.0,12.0
108,2.0,0.0,13.0,19.0
109,6.0,0.0,3.0,12.0
110,2.0,0.0,13.0,20.0
111,2.0,0.0,13.0,21.0
112,7.0,0.0,1.0,7.0
113,2.0,0.0,13.0,22.0
114,0.0,0.0,1.0,7.0
115,2.0,0.0,13.0,23.0
116,1.0,41.00236461360471,6.0,14.0
117,3.0,0.0,5.0,13.0
118,2.0,0.0,13.0,24.0
119,1.0,0.0,6.0,15.0
120,2.0,37.8752669392977,14.0,24.0
121,2.0,38.89386599441599,15.0,24.0
122,2.0,0.0,15.0,25.0
123,1.0,0.0,6.0,16.0
124,5.0,0.0,1.0,8.0
125,0.0,0.0,1.0,8.0
126,1.0,0.0,6.0,17.0
127,3.0,0.0,5.0,14.0
128,8.0,-0.0,1.0,8.0
129,1.0,60.6829624437982,7.0,17.0
130,1.0,0.0,7.0,18.0
131,1.0,56.51347828472878,8.0,18.0
132,2.0,0.0,15.0,26.0
133,2.0,40.61054709802811,16.0,26.0
134,1.0,0.0,8.0,19.0
135,2.0,0.0,16.0,27.0
136,6.0,0.0,3.0,13.0
137,2.0,0.0,16.0,28.0
138,2.0,28.69649995209014,17.0,28.0
