,0,1,2,3
0,7.0,0.0,1.0,2.0
1,3.0,0.0,1.0,2.0
2,9.0,0.0,1.0,2.0
3,9.0,0.0,1.0,3.0
4,6.0,0.0,1.0,2.0
5,6.0,0.0,1.0,3.0
6,8.0,0.0,1.0,2.0
7,5.0,0.0,1.0,2.0
8,4.0,0.0,1.0,2.0
9,3.0,162.18130039296264,2.0,2.0
10,1.0,135.38229501408716,2.0,1.0
11,0.0,0.0,1.0,2.0
12,2.0,0.0,1.0,2.0
13,1.0,0.0,2.0,2.0
14,7.0,0.0,1.0,3.0
15,4.0,0.0,1.0,3.0
16,1.0,0.0,2.0,3.0
17,5.0,0.0,1.0,3.0
18,4.0,0.0,1.0,4.0
19,1.0,109.02145625381371,3.0,3.0
20,3.0,0.0,2.0,3.0
21,8.0,0.0,1.0,3.0
22,0.0,0.0,1.0,3.0
23,0.0,0.0,1.0,4.0
24,3.0,152.0492229659744,3.0,3.0
25,1.0,0.0,3.0,4.0
26,2.0,0.0,1.0,3.0
27,3.0,0.0,3.0,4.0
28,6.0,0.0,1.0,4.0
29,8.0,0.0,1.0,4.0
30,2.0,0.0,1.0,4.0
31,5.0,0.0,1.0,4.0
32,1.0,109.02145625381371,4.0,4.0
33,0.0,0.0,1.0,5.0
34,1.0,0.0,4.0,5.0
35,3.0,0.0,3.0,5.0
36,3.0,0.0,3.0,6.0
37,3.0,0.0,3.0,7.0
38,1.0,0.0,4.0,6.0
39,3.0,0.0,3.0,8.0
40,1.0,0.0,4.0,7.0
41,0.0,0.0,1.0,6.0
42,8.0,52.07821082491917,2.0,4.0
43,4.0,0.0,1.0,5.0
44,1.0,0.0,4.0,8.0
45,4.0,0.0,1.0,6.0
46,3.0,0.0,3.0,9.0
47,1.0,0.0,4.0,9.0
48,8.0,0.0,2.0,5.0
49,1.0,0.0,4.0,10.0
50,8.0,0.0,2.0,6.0
51,0.0,0.0,1.0,7.0
52,2.0,0.0,1.0,5.0
53,7.0,0.0,1.0,4.0
54,5.0,0.0,1.0,5.0
55,2.0,0.0,1.0,6.0
56,1.0,144.20531488240553,5.0,10.0
57,1.0,0.0,5.0,11.0
58,6.0,0.0,1.0,5.0
59,7.0,0.0,1.0,5.0
60,5.0,0.0,1.0,6.0
61,1.0,144.20531488240553,6.0,11.0
62,1.0,0.0,6.0,12.0
63,8.0,0.0,2.0,7.0
64,8.0,0.0,2.0,8.0
65,6.0,0.0,1.0,6.0
66,1.0,144.20531488240553,7.0,12.0
67,9.0,0.0,1.0,4.0
68,7.0,0.0,1.0,6.0
69,9.0,0.0,1.0,5.0
70,1.0,0.0,7.0,13.0
71,1.0,0.0,7.0,14.0
72,7.0,0.0,1.0,7.0
73,4.0,0.0,1.0,7.0
74,5.0,0.0,1.0,7.0
75,9.0,0.0,1.0,6.0
76,9.0,0.0,1.0,7.0
77,1.0,0.0,7.0,15.0
78,8.0,0.0,2.0,9.0
79,1.0,0.0,7.0,16.0
80,9.0,0.0,1.0,8.0
81,8.0,0.0,2.0,10.0
82,1.0,0.0,7.0,17.0
83,3.0,0.0,3.0,10.0
84,4.0,0.0,1.0,8.0
85,1.0,144.20531488240553,8.0,17.0
86,5.0,0.0,1.0,8.0
87,3.0,0.0,3.0,11.0
88,1.0,0.0,8.0,18.0
89,1.0,0.0,8.0,19.0
90,4.0,0.0,1.0,9.0
91,1.0,0.0,8.0,20.0
92,1.0,129.34258312577418,9.0,20.0
93,6.0,0.0,1.0,7.0
94,1.0,0.0,9.0,21.0
95,3.0,0.0,3.0,12.0
96,1.0,0.0,9.0,22.0
97,1.0,0.0,9.0,23.0
98,2.0,0.0,1.0,7.0
99,2.0,0.0,1.0,8.0
100,3.0,0.0,3.0,13.0
101,9.0,0.0,1.0,9.0
102,8.0,0.0,2.0,11.0
103,1.0,144.20531488240553,10.0,23.0
104,1.0,0.0,10.0,24.0
105,2.0,0.0,1.0,9.0
106,7.0,0.0,1.0,8.0
107,1.0,0.0,10.0,25.0
108,1.0,0.0,10.0,26.0
109,1.0,0.0,10.0,27.0
110,8.0,0.0,2.0,12.0
111,1.0,0.0,10.0,28.0
112,1.0,142.07517765970468,11.0,28.0
113,1.0,0.0,11.0,29.0
114,0.0,0.0,1.0,8.0
115,5.0,0.0,1.0,9.0
116,9.0,0.0,1.0,10.0
117,5.0,0.0,1.0,10.0
118,7.0,0.0,1.0,9.0
119,1.0,0.0,11.0,30.0
120,3.0,0.0,3.0,14.0
121,1.0,0.0,11.0,31.0
122,6.0,0.0,1.0,8.0
123,3.0,0.0,3.0,15.0
124,8.0,0.0,2.0,13.0
125,1.0,0.0,11.0,32.0
126,6.0,0.0,1.0,9.0
127,2.0,168.98907007661967,2.0,9.0
128,2.0,0.0,2.0,10.0
129,1.0,0.0,11.0,33.0
130,1.0,0.0,11.0,34.0
131,1.0,143.22540431136738,12.0,34.0
132,1.0,0.0,12.0,35.0
133,2.0,174.97520304326278,3.0,10.0
134,3.0,0.0,3.0,16.0
135,2.0,165.13929825195677,4.0,10.0
