,0,1,2,3
0,8.0,0.0,1.0,2.0
1,2.0,0.0,1.0,2.0
2,4.0,0.0,1.0,2.0
3,7.0,0.0,1.0,2.0
4,6.0,0.0,1.0,2.0
5,0.0,0.0,1.0,2.0
6,5.0,0.0,1.0,2.0
7,2.0,0.0,1.0,3.0
8,4.0,0.0,1.0,3.0
9,3.0,0.0,1.0,2.0
10,8.0,0.0,1.0,3.0
11,0.0,0.0,1.0,3.0
12,9.0,0.0,1.0,2.0
13,1.0,0.0,1.0,2.0
14,7.0,0.0,1.0,3.0
15,9.0,0.0,1.0,3.0
16,2.0,0.0,1.0,4.0
17,6.0,0.0,1.0,3.0
18,6.0,0.0,1.0,4.0
19,5.0,0.0,1.0,3.0
20,1.0,0.0,1.0,3.0
21,8.0,0.0,1.0,4.0
22,8.0,0.0,1.0,5.0
23,4.0,0.0,1.0,4.0
24,1.0,0.0,1.0,4.0
25,1.0,0.0,1.0,5.0
26,5.0,0.0,1.0,4.0
27,3.0,0.0,1.0,3.0
28,5.0,0.0,1.0,5.0
29,0.0,0.0,1.0,4.0
30,0.0,0.0,1.0,5.0
31,4.0,0.0,1.0,5.0
32,3.0,0.0,1.0,4.0
33,6.0,0.0,1.0,5.0
34,5.0,0.0,1.0,6.0
35,3.0,0.0,1.0,5.0
36,0.0,0.0,1.0,6.0
37,4.0,0.0,1.0,6.0
38,1.0,149.1852962379062,2.0,5.0
39,7.0,0.0,1.0,4.0
40,3.0,0.0,1.0,6.0
41,0.0,0.0,1.0,7.0
42,3.0,0.0,1.0,7.0
43,8.0,0.0,1.0,6.0
44,8.0,0.0,1.0,7.0
45,7.0,0.0,1.0,5.0
46,2.0,0.0,1.0,5.0
47,9.0,0.0,1.0,4.0
48,1.0,0.0,2.0,6.0
49,9.0,0.0,1.0,5.0
50,1.0,0.0,2.0,7.0
51,4.0,0.0,1.0,7.0
52,6.0,0.0,1.0,6.0
53,8.0,0.0,1.0,8.0
54,1.0,0.0,2.0,8.0
55,7.0,0.0,1.0,6.0
56,5.0,0.0,1.0,7.0
57,9.0,0.0,1.0,6.0
58,2.0,171.722069951304,2.0,5.0
59,8.0,0.0,1.0,9.0
60,2.0,0.0,2.0,6.0
61,7.0,0.0,1.0,7.0
62,2.0,0.0,2.0,7.0
63,7.0,0.0,1.0,8.0
64,1.0,0.0,2.0,9.0
65,7.0,0.0,1.0,9.0
66,2.0,171.722069951304,3.0,7.0
67,2.0,0.0,3.0,8.0
68,4.0,0.0,1.0,8.0
69,1.0,0.0,2.0,10.0
70,2.0,0.0,3.0,9.0
71,1.0,0.0,2.0,11.0
72,3.0,0.0,1.0,8.0
73,5.0,0.0,1.0,8.0
74,2.0,0.0,3.0,10.0
75,3.0,103.83721898877316,2.0,8.0
76,7.0,0.0,1.0,10.0
77,0.0,0.0,1.0,8.0
78,3.0,165.97264911650484,3.0,8.0
79,2.0,0.0,3.0,11.0
80,1.0,0.0,2.0,12.0
81,8.0,0.0,1.0,10.0
82,3.0,0.0,3.0,9.0
83,9.0,0.0,1.0,7.0
84,3.0,0.0,3.0,10.0
85,2.0,0.0,3.0,12.0
86,3.0,0.0,3.0,11.0
87,3.0,0.0,3.0,12.0
88,0.0,0.0,1.0,9.0
89,7.0,0.0,1.0,11.0
90,2.0,0.0,3.0,13.0
91,6.0,0.0,1.0,7.0
92,2.0,0.0,3.0,14.0
93,7.0,0.0,1.0,12.0
94,9.0,0.0,1.0,8.0
95,9.0,0.0,1.0,9.0
96,0.0,0.0,1.0,10.0
97,5.0,0.0,1.0,9.0
98,1.0,0.0,2.0,13.0
99,3.0,0.0,3.0,13.0
100,8.0,0.0,1.0,11.0
101,8.0,0.0,1.0,12.0
102,2.0,0.0,3.0,15.0
103,1.0,149.1852962379062,3.0,13.0
104,1.0,0.0,3.0,14.0
105,3.0,0.0,3.0,14.0
106,6.0,0.0,1.0,8.0
107,2.0,171.722069951304,4.0,15.0
108,2.0,0.0,4.0,16.0
109,0.0,0.0,1.0,11.0
110,3.0,0.0,3.0,15.0
111,6.0,0.0,1.0,9.0
112,4.0,0.0,1.0,9.0
113,2.0,0.0,4.0,17.0
114,9.0,0.0,1.0,10.0
115,2.0,0.0,4.0,18.0
116,3.0,0.0,3.0,16.0
117,1.0,149.1852962379062,4.0,14.0
118,0.0,0.0,1.0,12.0
119,6.0,0.0,1.0,10.0
120,5.0,0.0,1.0,10.0
121,2.0,0.0,4.0,19.0
122,1.0,0.0,4.0,15.0
123,2.0,0.0,4.0,20.0
124,1.0,0.0,4.0,16.0
125,2.0,0.0,4.0,21.0
126,5.0,0.0,1.0,11.0
127,3.0,0.0,3.0,17.0
128,2.0,0.0,4.0,22.0
129,1.0,0.0,4.0,17.0
130,1.0,151.14708467659509,5.0,17.0
131,3.0,0.0,3.0,18.0
132,1.0,0.0,5.0,18.0
133,4.0,0.0,1.0,10.0
134,9.0,0.0,1.0,11.0
135,1.0,0.0,5.0,19.0
136,2.0,0.0,4.0,23.0
137,0.0,0.0,1.0,13.0
138,0.0,0.0,1.0,14.0
139,1.0,0.0,5.0,20.0
140,3.0,0.0,3.0,19.0
141,6.0,0.0,1.0,11.0
142,3.0,0.0,3.0,20.0
143,6.0,0.0,1.0,12.0
144,4.0,0.0,1.0,11.0
145,0.0,0.0,1.0,15.0
146,2.0,0.0,4.0,24.0
147,3.0,0.0,3.0,21.0
148,1.0,0.0,5.0,21.0
149,4.0,0.0,1.0,12.0
150,2.0,0.0,4.0,25.0
151,1.0,0.0,5.0,22.0
152,5.0,0.0,1.0,12.0
